layer,C,H,W,mean_abs,max_abs,sparsity
conv1,64,112,112,0.9140512347221375,22.000295639038086,0.06287119537591934
layer1.0.conv1,64,56,56,1.0246862173080444,8.622246742248535,0.0
layer1.0.conv2,64,56,56,0.2783188819885254,2.504723072052002,1.4947385352570564e-05
layer1.1.conv1,64,56,56,0.911363959312439,7.30891227722168,0.0
layer1.1.conv2,64,56,56,0.22915084660053253,1.8851405382156372,4.9824616326077376e-06
layer2.0.conv1,128,28,28,0.7410315871238708,6.922824382781982,0.0
layer2.0.conv2,128,28,28,0.3143468201160431,2.792922258377075,0.0
layer2.0.downsample.0,128,28,28,0.29443642497062683,2.49997878074646,0.0
layer2.1.conv1,128,28,28,0.5106087327003479,3.6293094158172607,0.0
layer2.1.conv2,128,28,28,0.17578895390033722,1.804824948310852,0.0
layer3.0.conv1,256,14,14,0.5484199523925781,4.22299337387085,0.0
layer3.0.conv2,256,14,14,0.3270874321460724,3.4679486751556396,0.0
layer3.0.downsample.0,256,14,14,0.11474587768316269,1.4534345865249634,0.0
layer3.1.conv1,256,14,14,0.6193262338638306,4.198888301849365,0.0
layer3.1.conv2,256,14,14,0.22166793048381805,2.962380886077881,0.0
layer4.0.conv1,512,7,7,0.6110056042671204,4.855929374694824,0.0
layer4.0.conv2,512,7,7,0.21090067923069,1.8993110656738281,0.0
layer4.0.downsample.0,512,7,7,0.13378998637199402,1.9468801021575928,0.0
layer4.1.conv1,512,7,7,0.7399483323097229,4.1133503913879395,0.0
layer4.1.conv2,512,7,7,0.08230908215045929,0.8559495210647583,0.0
