layer,mean_abs,sparsity
conv1,0.9140512347221375,0.06287119537591934
layer1.0.conv1,1.0246862173080444,0.0
layer1.0.conv2,0.2783188819885254,1.4947385352570564e-05
layer1.1.conv1,0.911363959312439,0.0
layer1.1.conv2,0.22915084660053253,4.9824616326077376e-06
layer2.0.conv1,0.7410315871238708,0.0
layer2.0.conv2,0.3143468201160431,0.0
layer2.0.downsample.0,0.29443642497062683,0.0
layer2.1.conv1,0.5106087327003479,0.0
layer2.1.conv2,0.17578895390033722,0.0
layer3.0.conv1,0.5484199523925781,0.0
layer3.0.conv2,0.3270874321460724,0.0
layer3.0.downsample.0,0.11474587768316269,0.0
layer3.1.conv1,0.6193262338638306,0.0
layer3.1.conv2,0.22166793048381805,0.0
layer4.0.conv1,0.6110056042671204,0.0
layer4.0.conv2,0.21090067923069,0.0
layer4.0.downsample.0,0.13378998637199402,0.0
layer4.1.conv1,0.7399483323097229,0.0
layer4.1.conv2,0.08230908215045929,0.0
