layer,mean_abs,sparsity
conv1,1.0131813287734985,0.06541349738836288
layer1.0.conv1,1.1588343381881714,0.0
layer1.0.conv2,0.2850619852542877,4.9824616326077376e-06
layer1.1.conv1,0.9824711680412292,0.0
layer1.1.conv2,0.22316774725914001,4.9824616326077376e-06
layer2.0.conv1,0.7874758839607239,0.0
layer2.0.conv2,0.3159452974796295,0.0
layer2.0.downsample.0,0.32441258430480957,0.0
layer2.1.conv1,0.5037964582443237,0.0
layer2.1.conv2,0.1507367044687271,0.0
layer3.0.conv1,0.5232338309288025,1.992984653043095e-05
layer3.0.conv2,0.2812937796115875,0.0
layer3.0.downsample.0,0.11106263101100922,1.992984653043095e-05
layer3.1.conv1,0.5156051516532898,0.0
layer3.1.conv2,0.1373313069343567,0.0
layer4.0.conv1,0.47635379433631897,0.0
layer4.0.conv2,0.1604432910680771,0.0
layer4.0.downsample.0,0.11331762373447418,0.0
layer4.1.conv1,0.596265435218811,0.0
layer4.1.conv2,0.08927249908447266,0.0
